,wind_speed_ms,wind_speed_sensor_1_ms,wind_speed_sensor_2_ms,density_adjusted_wind_speed_ms,wind_direction,nacelle_position,power_kw,potential_power_default_pc_kw,potential_power_learned_pc_kw,turbine_power_setpoint_kw,nacelle_ambient_temperature_c,ambient_temperature_converter_c,capacity_factor,data_availability,blade_angle_pitch_position_a,blade_angle_pitch_position_b,blade_angle_pitch_position_c,yaw_bearing_angle,cable_windings_from_calibration_point,turbine_id
wind_speed_ms,1.0,0.9959132054561018,0.9980580713078439,0.9999045917743378,0.1260611314243158,0.11967057730564634,0.9361406549360718,0.9532467756530782,0.9560588659723815,0.8514077371783656,-0.13219836405443647,-0.03839806398289492,0.9167211398067068,,-0.2722047591286577,-0.2724653795550418,-0.2720645656273892,0.11570581872679132,-0.07192189078427909,
wind_speed_sensor_1_ms,0.9959132054561018,1.0,0.9966459745007866,0.9954256345340018,0.12606087250461512,0.1176515388174098,0.9349442511907966,0.9467888833946492,0.9505931026425526,0.8642792761662974,-0.1061964820479786,-0.012875073977630089,0.915442662619089,,-0.30461562138077025,-0.30490285559037467,-0.3044573167866176,0.11414169990939121,-0.06784367665181923,
wind_speed_sensor_2_ms,0.9980580713078439,0.9966459745007866,1.0,0.9979258345273125,0.1263046669292824,0.11990492916752984,0.9358081903435539,0.9512103812741015,0.9540833366522626,0.8511630825939813,-0.13231515136129024,-0.038548289128363965,0.9164344727571552,,-0.2721146556007989,-0.27237233846505676,-0.27197788237326914,0.11594713567610977,-0.07208295113457064,
density_adjusted_wind_speed_ms,0.9999045917743378,0.9954256345340018,0.9979258345273125,1.0,0.12399125890731968,0.11562533982434409,0.9361824859951559,0.9535417377087724,0.9563511918275482,0.8518028403150398,-0.14454762527661588,-0.04199897039292441,0.9166203714978438,,-0.2710374453348097,-0.2712967718513449,-0.2708972241971759,0.11562490044382369,-0.07195263093571436,
wind_direction,0.1260611314243158,0.12606087250461512,0.1263046669292824,0.12399125890731968,1.0,0.9026521378392866,0.11551082606698242,0.12526560189987415,0.12491484580770275,0.07951363206402377,-0.012546727670678668,-0.001762277509770323,0.1156111978739691,,0.009382866626317578,0.009469396452355587,0.009314482590332145,0.9039445098688274,-0.04770838792279761,
nacelle_position,0.11967057730564634,0.1176515388174098,0.11990492916752984,0.11562533982434409,0.9026521378392866,1.0,0.11146315342236127,0.12153387617711453,0.12117358012879387,0.06783057955617719,-0.01916489255625642,-0.01053781816074954,0.11162875519319676,,0.02324331924222881,0.02313180804486164,0.02315666546734298,0.9999997982220569,-0.05148230604866971,
power_kw,0.9361406549360718,0.9349442511907966,0.9358081903435539,0.9361824859951559,0.11551082606698242,0.11146315342236127,1.0,0.9829378757827512,0.9847421820494764,0.8877582612913141,-0.1383019270378486,-0.04261051445137076,0.9785810468349656,,-0.2646347880250969,-0.2648754561217279,-0.26458783073721864,0.1053103612754498,-0.04939070441318537,
potential_power_default_pc_kw,0.9532467756530782,0.9467888833946492,0.9512103812741015,0.9535417377087724,0.12526560189987415,0.12153387617711453,0.9829378757827512,1.0,0.9982684311542391,0.8415841674308021,-0.12679487385410126,-0.034397553894940064,0.9624334230651772,,-0.18089388714185956,-0.18110529947904638,-0.18083827093014399,0.11475301164887841,-0.06667671939991615,
potential_power_learned_pc_kw,0.9560588659723815,0.9505931026425526,0.9540833366522626,0.9563511918275482,0.12491484580770275,0.12117358012879387,0.9847421820494764,0.9982684311542391,1.0,0.8546674532875247,-0.13985809120377055,-0.04667557813376889,0.9642047754186359,,-0.19568537406384387,-0.195910398432894,-0.19561861336650105,0.11577005398632854,-0.06471086365912708,
turbine_power_setpoint_kw,0.8514077371783656,0.8642792761662974,0.8511630825939813,0.8518028403150398,0.07951363206402377,0.06783057955617719,0.8877582612913141,0.8415841674308021,0.8546674532875247,1.0,-0.14584901510629336,-0.04323101704195114,0.8692127963688653,,-0.5479361302072714,-0.5483582510696049,-0.5477806728293743,0.06783142470260349,-0.04282003529793044,
nacelle_ambient_temperature_c,-0.13219836405443647,-0.1061964820479786,-0.13231515136129024,-0.14454762527661588,-0.012546727670678668,-0.01916489255625642,-0.1383019270378486,-0.12679487385410126,-0.13985809120377055,-0.14584901510629336,1.0,0.9780391428900487,-0.1388515071897259,,-0.03092133687787578,-0.03105873346093502,-0.0309871851255911,-0.019159414202943054,0.03485029222429981,
ambient_temperature_converter_c,-0.03839806398289492,-0.012875073977630089,-0.038548289128363965,-0.04199897039292441,-0.001762277509770323,-0.01053781816074954,-0.04261051445137076,-0.034397553894940064,-0.04667557813376889,-0.04323101704195114,0.9780391428900487,1.0,-0.04451803353922074,,-0.07293624997670677,-0.0730633903775665,-0.07299075586178269,-0.003703537199169994,0.029809923448959663,
capacity_factor,0.9167211398067068,0.915442662619089,0.9164344727571552,0.9166203714978438,0.1156111978739691,0.11162875519319676,0.9785810468349656,0.9624334230651772,0.9642047754186359,0.8692127963688653,-0.1388515071897259,-0.04451803353922074,1.0,0.04746972047312744,-0.25497324469016097,-0.2552128146411827,-0.25492352824292014,0.10563084540017142,-0.0514968580914761,
data_availability,,,,,,,,,,,,,0.04746972047312744,1.0,,,,,,
blade_angle_pitch_position_a,-0.2722047591286577,-0.30461562138077025,-0.2721146556007989,-0.2710374453348097,0.009382866626317578,0.02324331924222881,-0.2646347880250969,-0.18089388714185956,-0.19568537406384387,-0.5479361302072714,-0.03092133687787578,-0.07293624997670677,-0.25497324469016097,,1.0,0.9928035172844581,0.999635069627489,0.023236985850719986,-0.06423558768169166,
blade_angle_pitch_position_b,-0.2724653795550418,-0.30490285559037467,-0.27237233846505676,-0.2712967718513449,0.009469396452355587,0.02313180804486164,-0.2648754561217279,-0.18110529947904638,-0.195910398432894,-0.5483582510696049,-0.03105873346093502,-0.0730633903775665,-0.2552128146411827,,0.9928035172844581,1.0,0.9930957629265861,0.02312547030249784,-0.06399439931103929,
blade_angle_pitch_position_c,-0.2720645656273892,-0.3044573167866176,-0.27197788237326914,-0.2708972241971759,0.009314482590332145,0.02315666546734298,-0.26458783073721864,-0.18083827093014399,-0.19561861336650105,-0.5477806728293743,-0.0309871851255911,-0.07299075586178269,-0.25492352824292014,,0.999635069627489,0.9930957629265861,1.0,0.023150305004409705,-0.06410501153445612,
yaw_bearing_angle,0.11570581872679132,0.11414169990939121,0.11594713567610977,0.11562490044382369,0.9039445098688274,0.9999997982220569,0.1053103612754498,0.11475301164887841,0.11577005398632854,0.06783142470260349,-0.019159414202943054,-0.003703537199169994,0.10563084540017142,,0.023236985850719986,0.02312547030249784,0.023150305004409705,1.0,-0.05148286892090002,
cable_windings_from_calibration_point,-0.07192189078427909,-0.06784367665181923,-0.07208295113457064,-0.07195263093571436,-0.04770838792279761,-0.05148230604866971,-0.04939070441318537,-0.06667671939991615,-0.06471086365912708,-0.04282003529793044,0.03485029222429981,0.029809923448959663,-0.0514968580914761,,-0.06423558768169166,-0.06399439931103929,-0.06410501153445612,-0.05148286892090002,1.0,
turbine_id,,,,,,,,,,,,,,,,,,,,
