,,0
yaw_bearing_angle,nacelle_position,0.9999997982220569
density_adjusted_wind_speed_ms,wind_speed_ms,0.9999045917743378
blade_angle_pitch_position_c,blade_angle_pitch_position_a,0.999635069627489
potential_power_default_pc_kw,potential_power_learned_pc_kw,0.9982684311542391
wind_speed_sensor_2_ms,wind_speed_ms,0.9980580713078439
wind_speed_sensor_2_ms,density_adjusted_wind_speed_ms,0.9979258345273125
wind_speed_sensor_1_ms,wind_speed_sensor_2_ms,0.9966459745007866
wind_speed_ms,wind_speed_sensor_1_ms,0.9959132054561018
density_adjusted_wind_speed_ms,wind_speed_sensor_1_ms,0.9954256345340018
blade_angle_pitch_position_c,blade_angle_pitch_position_b,0.9930957629265861
blade_angle_pitch_position_a,blade_angle_pitch_position_b,0.9928035172844581
power_kw,potential_power_learned_pc_kw,0.9847421820494764
power_kw,potential_power_default_pc_kw,0.9829378757827512
power_kw,capacity_factor,0.9785810468349656
ambient_temperature_converter_c,nacelle_ambient_temperature_c,0.9780391428900487
capacity_factor,potential_power_learned_pc_kw,0.9642047754186359
potential_power_default_pc_kw,capacity_factor,0.9624334230651772
density_adjusted_wind_speed_ms,potential_power_learned_pc_kw,0.9563511918275482
potential_power_learned_pc_kw,wind_speed_ms,0.9560588659723815
wind_speed_sensor_2_ms,potential_power_learned_pc_kw,0.9540833366522626
potential_power_default_pc_kw,density_adjusted_wind_speed_ms,0.9535417377087724
potential_power_default_pc_kw,wind_speed_ms,0.9532467756530782
potential_power_default_pc_kw,wind_speed_sensor_2_ms,0.9512103812741015
wind_speed_sensor_1_ms,potential_power_learned_pc_kw,0.9505931026425526
potential_power_default_pc_kw,wind_speed_sensor_1_ms,0.9467888833946492
density_adjusted_wind_speed_ms,power_kw,0.9361824859951559
wind_speed_ms,power_kw,0.9361406549360718
wind_speed_sensor_2_ms,power_kw,0.9358081903435539
power_kw,wind_speed_sensor_1_ms,0.9349442511907966
wind_speed_ms,capacity_factor,0.9167211398067068
capacity_factor,density_adjusted_wind_speed_ms,0.9166203714978438
capacity_factor,wind_speed_sensor_2_ms,0.9164344727571552
wind_speed_sensor_1_ms,capacity_factor,0.915442662619089
wind_direction,yaw_bearing_angle,0.9039445098688274
nacelle_position,wind_direction,0.9026521378392866
power_kw,turbine_power_setpoint_kw,0.8877582612913141
capacity_factor,turbine_power_setpoint_kw,0.8692127963688653
turbine_power_setpoint_kw,wind_speed_sensor_1_ms,0.8642792761662974
turbine_power_setpoint_kw,potential_power_learned_pc_kw,0.8546674532875247
turbine_power_setpoint_kw,density_adjusted_wind_speed_ms,0.8518028403150398
wind_speed_ms,turbine_power_setpoint_kw,0.8514077371783656
wind_speed_sensor_2_ms,turbine_power_setpoint_kw,0.8511630825939813
turbine_power_setpoint_kw,potential_power_default_pc_kw,0.8415841674308021
